Car,Sale Date,Sale Amount,Currency unit,Sold Location,Source
1999 Nissan Skyline (R34) GT-R V-Spec,5/10/2022,140000,GBP,Great Britain,collectingcars.com
1999 Nissan Skyline (R34) GT-R V-Spec,1/26/2022,221500,AUD,Australia,collectingcars.com
1999 Nissan Skyline (R34) GT-R V-Spec,10/21/2021,100000,GBP,Great Britain,collectingcars.com
1999 Nissan Skyline (R34) GT-R V-Spec,7/13/2021,310000,USD,USA,bringatrailer.com
1999 Nissan Skyline (R34) GT-R V-Spec,6/22/2021,315187,USD,USA,bringatrailer.com
1999 Nissan Skyline (R34) GT-R V-Spec,11/11/2017,29000,GBP,Great Britain,silverstoneauctions.com
1999 Nissan Skyline (R34) GT-R V-Spec,9/6/2017,25300,GBP,Great Britain,rmsothebys.com
1996 Nissan Skyline (R33) GT-R,6/29/2022,63500,AUD,Australia,collectingcars.com
1995 Nissan Skyline (R33) GT-R,5/13/2022,58000,USD,USA,bringatrailer.com
1996 Nissan Skyline (R33) GT-R,5/1/2022,57500,USD,USA,bringatrailer.com
1995 Nissan Skyline (R33) GT-R V-Spec,4/21/2022,49995,USD,USA,carsandbids.com
1995 Nissan Skyline (R33) GT-R V-Spec,3/29/2022,83500,USD,USA,bringatrailer.com
1971 Nissan Skyline GTX KGC10,1/16/2022,129000,USD,USA,bringatrailer.com
1971 Nissan Skyline C10,8/23/2021,95959,USD,USA,bringatrailer.com
1971 Nissan Skyline,2/4/2019,63500,USD,USA,bringatrailer.com
1971 Nissan Skyline,8/23/2018,75900,USD,USA,mecum.com
1971 Nissan Skyline 2000GT-R,1/23/2017,126000,USD,USA,bringatrailer.com
1970 Dodge Charger R/T,7/15/2022,67500,USD,USA,bringatrailer.com
1970 Dodge Charger R/T,6/30/3033,85800,USD,USA,barrettjackson.com
1970 Dodge Charger R/T,5/2/2022,104000,USD,USA,gatewayclassiccars.com
1970 Dodge Charger R/T,4/9/2022,119900,USD,USA,barrettjackson.com
1970 Dodge Charger R/T,1/29/2022,132000,USD,USA,barrettjackson.com
1994 Toyota Supra,7/2/2022,122000,USD,USA,bringatrailer.com
1994 Toyota Supra MK4,5/29/2022,40050,GBP,Great Britain,collectingcars.com
1994 Toyota Supra,5/19/2022,140000,USD,USA,mecum.com
1994 Toyota Supra,5/8/2022,98500,USD,USA,bringatrailer.com
1994 Toyota Supra,5/1/2022,72000,CAD,Canada,bringatrailer.com
