Car,Sale Date,Sale Amount,Currency unit,Sold Location,Source
1965 Ford GT40,08/16/2019,7650000,USD,USA,rmsothebys.com
1965 Ford GT40,08/16/2014,6930000,USD,USA,rmsothebys.com
1965 Ford GT40 Replica,01/29/2022,209000,USD,USA,barrettjackson.com
1965 Ford GT40 Replica,11/15/2014,100000,USD,USA,mecum.com
1966 Chevrolet Corvette Stingray,07/23/2022,106000,USD,USA,gaaclassiccars.com
1966 Chevrolet Corvette Stingray,03/12/2015,82500,USD,USA,rmsothebys.com
1967 Ford Mustang Fastback,07/29/2022,63000,USD,USA,mecum.com
1967 Ford Mustang Fastback,07/29/2022,79000,USD,USA,mecum.com
1967 Ford Mustang Fastback,03/25/2021,66000,USD,USA,barrettjackson.com
1967 Ford Mustang Fastback,01/28/2021,55000,USD,USA,bringatrailer.com
1967 Ford Mustang Fastback,05/16/2021,75900,USD,USA,mecum.com
1967 Ford Mustang Fastback,11/19/2020,47500,USD,USA,bringatrailer.com
1967 Ford Mustang Fastback,11/14/2020,148500,USD,USA,bringatrailer.com
1967 Ford Mustang Fastback,10/17/2020,46200,USD,USA,mecum.com
1967 Ford Mustang Fastback,08/03/2019,66000,USD,USA,mecum.com
1967 Ford Mustang Fastback,07/01/2019,34500,USD,USA,bringatrailer.com
1967 Ford Mustang Fastback,05/17/2019,95700,USD,USA,mecum.com
1967 Ford Mustang Fastback,09/28/2018,52800,USD,USA,barrettjackson.com
1967 Ford Mustang Fastback,09/02/2018,56100,USD,USA,rmsothebys.com
1967 Ford Mustang Fastback,08/04/2018,39600,USD,USA,mecum.com
1967 Ford Mustang Fastback,07/22/2017,41000,USD,USA,gaaclassiccars.com
1967 Ford Mustang Fastback,07/20/2017,27500,USD,USA,bringatrailer.com
1967 Ford Mustang Fastback,06/24/2017,79200,USD,USA,barrettjackson.com
1967 Ford Mustang Fastback,10/14/2016,61600,USD,USA,gaaclassiccars.com
1967 Ford Mustang Fastback,05/20/2016,36000,USD,USA,mecum.com
1967 Ford Mustang Fastback,05/17/2014,50000,USD,USA,mecum.com
1967 Ford Mustang Fastback,05/15/2014,28500,USD,USA,mecum.com
